latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.1553,52.8703,319.2,2,1.4,2009-01-04,1017,Aqua,MODIS,62,6.03,288.7,45.5,D,3
25.1658,52.8799,330.2,1,1,2009-01-04,2225,Aqua,MODIS,100,6.03,291,29.3,N,3
25.1583,52.8851,315.9,2.7,1.6,2009-01-05,0747,Terra,MODIS,65,6.03,291,60.1,D,3
25.1546,52.8773,312.8,2.7,1.6,2009-01-05,0747,Terra,MODIS,56,6.03,291.2,48.2,D,3
25.1562,52.874,319.2,2.3,1.5,2009-01-05,0922,Aqua,MODIS,71,6.03,291.9,57.2,D,3
25.1592,52.88,313.4,2.3,1.5,2009-01-05,0922,Aqua,MODIS,58,6.03,291.2,40.1,D,3
25.1548,52.8575,313.9,2.3,1.5,2009-01-05,0922,Aqua,MODIS,60,6.03,291.4,41.8,D,3
25.1613,52.8871,318.9,2.3,1.5,2009-01-18,1814,Terra,MODIS,97,6.03,288.9,60.9,N,3
25.1706,52.8795,331.6,2.3,1.5,2009-01-18,1814,Terra,MODIS,100,6.03,288.6,110.8,N,3
25.1661,52.8568,312.9,2.4,1.5,2009-01-18,1814,Terra,MODIS,78,6.03,287.4,45.3,N,3
25.1569,52.8644,320.3,2.4,1.5,2009-01-18,1814,Terra,MODIS,100,6.03,287.3,67.2,N,3
25.1636,52.8759,321.5,4.4,1.9,2009-01-25,1036,Aqua,MODIS,74,6.03,286.5,175.7,D,3
25.1637,52.8709,324.8,4.4,1.9,2009-01-25,1036,Aqua,MODIS,78,6.03,286.7,203.9,D,3
25.1688,52.8837,306.3,1.8,1.3,2009-01-25,1820,Terra,MODIS,44,6.03,288.6,18.3,N,3
25.1655,52.866,315.7,1.8,1.3,2009-01-25,1820,Terra,MODIS,89,6.03,288.7,35.1,N,3
25.1682,52.8761,330.8,1.6,1.2,2009-01-26,1903,Terra,MODIS,100,6.03,291.4,58,N,3
25.1677,52.882,323.8,1.6,1.2,2009-01-26,1903,Terra,MODIS,100,6.03,291.3,41.4,N,3
25.1666,52.8607,317.8,1.6,1.2,2009-01-26,1903,Terra,MODIS,94,6.03,290.8,30.3,N,3
25.1659,52.8665,337.4,1.6,1.2,2009-01-26,1903,Terra,MODIS,100,6.03,291.4,75.3,N,3
25.1641,52.8892,308.9,2.9,1.6,2009-01-26,2149,Aqua,MODIS,63,6.03,289.7,45.1,N,3
25.1639,52.8568,322.6,2.6,1.6,2009-01-27,1024,Aqua,MODIS,75,6.03,290.8,83.2,D,3
25.1662,52.8828,320.6,2.6,1.6,2009-01-27,1024,Aqua,MODIS,73,6.03,290.2,75.5,D,3
25.1579,52.8655,337.6,2.6,1.6,2009-01-27,1024,Aqua,MODIS,88,6.03,292.6,157.2,D,3
25.1702,52.8702,306,3,1.7,2009-01-27,1808,Terra,MODIS,41,6.03,288.1,39,N,3
25.1691,52.874,320.2,1.1,1.1,2009-01-27,2232,Aqua,MODIS,100,6.03,290.5,21.7,N,3
25.1673,52.8848,332.5,1.1,1.1,2009-01-27,2232,Aqua,MODIS,100,6.03,292.2,38.3,N,3
25.1659,52.8795,325.2,1.1,1.1,2009-02-07,2213,Aqua,MODIS,100,6.03,290.4,28.8,N,3
25.1592,52.8467,314.5,3.4,1.7,2009-02-19,1030,Aqua,MODIS,61,6.03,284.5,82.1,D,3
25.1659,52.8878,316.6,3.4,1.7,2009-02-19,1030,Aqua,MODIS,66,6.03,288.8,96.7,D,3
25.1618,52.8803,331.5,3.4,1.7,2009-02-19,1030,Aqua,MODIS,84,6.03,289.3,191.5,D,3
25.1631,52.8542,320.6,3.4,1.7,2009-02-19,1030,Aqua,MODIS,73,6.03,285.1,116.3,D,3
25.1587,52.857,307.9,2.4,1.5,2009-02-19,1814,Terra,MODIS,57,6.03,289.1,31.1,N,3
25.1642,52.8843,331.8,1.3,1.1,2009-02-19,2238,Aqua,MODIS,100,6.03,288.4,48.9,N,3
