latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.164907,52.877258,331.57,0.52,0.5,2012-01-22,2236,N,VIIRS,n,1,285.18,4.77,N,3
25.165871,52.878937,345.2,0.44,0.38,2012-01-23,2218,N,VIIRS,n,1,290.98,5.9,N,3
25.163147,52.873856,300.89,0.44,0.38,2012-01-23,2218,N,VIIRS,n,1,287.62,3.19,N,3
25.162376,52.878178,343.83,0.44,0.38,2012-01-23,2218,N,VIIRS,n,1,289.93,5.9,N,3
25.162922,52.869843,300.69,0.41,0.37,2012-01-24,2200,N,VIIRS,n,1,286.13,0.26,N,3
25.159527,52.869251,302.13,0.41,0.37,2012-01-24,2200,N,VIIRS,n,1,286.41,0.26,N,3
25.165152,52.878483,339.88,0.41,0.37,2012-01-24,2200,N,VIIRS,n,1,290.7,4.88,N,3
25.165937,52.874954,326.81,0.45,0.47,2012-01-25,2142,N,VIIRS,n,1,288.4,3.62,N,3
25.165453,52.87949,327.3,0.45,0.47,2012-01-25,2142,N,VIIRS,n,1,288.4,3.08,N,3
25.164274,52.877178,351.66,0.45,0.47,2012-01-25,2142,N,VIIRS,n,1,289.15,8.14,N,3
25.175604,52.87114,352.04,0.35,0.57,2012-01-26,0854,N,VIIRS,n,1,287.25,5.82,D,3
25.166065,52.877407,346.9,0.35,0.57,2012-01-26,0854,N,VIIRS,n,1,287.89,5.03,D,3
25.165291,52.873951,349.15,0.35,0.57,2012-01-26,0854,N,VIIRS,n,1,288.57,5.03,D,3
25.165556,52.879841,315.18,0.45,0.63,2012-01-26,2124,N,VIIRS,n,1,286.73,3.71,N,3
25.165911,52.875309,355.97,0.45,0.63,2012-01-26,2124,N,VIIRS,n,1,287.69,3.71,N,3
25.161142,52.884472,320.42,0.63,0.72,2012-01-26,2300,N,VIIRS,n,1,286.22,7.22,N,3
25.164347,52.872032,297.47,0.62,0.72,2012-01-26,2300,N,VIIRS,n,1,284.54,4.69,N,3
25.162752,52.87822,348.87,0.62,0.72,2012-01-26,2300,N,VIIRS,n,1,286.89,7.22,N,3
25.163038,52.879696,367,0.41,0.6,2012-01-27,1018,N,VIIRS,h,1,294.4,18.18,D,3
25.164804,52.88076,367,0.32,0.55,2012-01-27,2242,N,VIIRS,h,1,292.22,3.39,N,3
25.165504,52.877563,316.05,0.32,0.55,2012-01-27,2242,N,VIIRS,n,1,288.64,3.39,N,3
25.159847,52.879375,302.93,0.32,0.55,2012-01-27,2242,N,VIIRS,n,1,287.88,3.39,N,3
25.164192,52.876945,324.18,0.32,0.55,2012-01-27,2242,N,VIIRS,n,1,289.65,5.27,N,3
25.160551,52.876167,302.64,0.32,0.55,2012-01-27,2242,N,VIIRS,n,1,288.13,3.39,N,3
25.163471,52.880138,367,0.32,0.55,2012-01-27,2242,N,VIIRS,h,1,291.64,5.27,N,3
25.165373,52.877449,336.14,0.52,0.41,2012-01-28,2224,N,VIIRS,n,1,290.09,4.59,N,3
25.161613,52.876575,303.59,0.52,0.41,2012-01-28,2224,N,VIIRS,n,1,289.96,4.59,N,3
25.165266,52.879379,331.8,0.39,0.36,2012-01-29,0936,N,VIIRS,n,1,292.04,7.88,D,3
25.162371,52.879768,314.57,0.38,0.36,2012-01-29,2206,N,VIIRS,n,1,291.06,4.52,N,3
25.176756,52.874649,328.51,0.38,0.36,2012-01-29,2206,N,VIIRS,n,1,290.58,2.11,N,3
25.165672,52.880386,302.73,0.38,0.36,2012-01-29,2206,N,VIIRS,n,1,289.96,4.52,N,3
25.16626,52.876591,329.89,0.38,0.36,2012-01-29,2206,N,VIIRS,n,1,291.98,4.52,N,3
25.162958,52.875969,332.65,0.38,0.36,2012-01-29,2206,N,VIIRS,n,1,291.43,4.52,N,3
25.164433,52.87632,332.94,0.55,0.43,2012-01-30,2148,N,VIIRS,n,1,289.9,3.37,N,3
25.1605,52.875744,302.29,0.55,0.43,2012-01-30,2148,N,VIIRS,n,1,288.88,3.37,N,3
25.163515,52.874912,295.3,0.36,0.57,2012-01-31,2130,N,VIIRS,n,1,254.51,0.52,N,3
25.164652,52.875656,302.09,0.77,0.78,2012-01-31,2306,N,VIIRS,n,1,285.14,2.31,N,3
25.162567,52.883411,312.96,0.77,0.78,2012-01-31,2306,N,VIIRS,n,1,285.76,2.31,N,3
25.167938,52.875732,306.04,0.7,0.75,2012-02-01,2106,N,VIIRS,n,1,285.82,1.79,N,3
25.160917,52.875324,299.2,0.7,0.75,2012-02-01,2106,N,VIIRS,n,1,286.88,1.79,N,3
25.165562,52.876572,305.84,0.7,0.75,2012-02-01,2106,N,VIIRS,n,1,286.35,1.68,N,3
25.163454,52.875401,301.23,0.4,0.6,2012-02-01,2248,N,VIIRS,n,1,289.09,2.31,N,3
25.162508,52.879398,339.08,0.4,0.6,2012-02-01,2248,N,VIIRS,n,1,289.88,3.34,N,3
25.163017,52.877003,325.39,0.4,0.37,2012-02-03,2212,N,VIIRS,n,1,289.4,2.13,N,3
25.160976,52.868538,297.56,0.4,0.37,2012-02-03,2212,N,VIIRS,n,1,287.06,0.11,N,3
25.166357,52.877674,329.49,0.4,0.37,2012-02-03,2212,N,VIIRS,n,1,290.52,2.13,N,3
25.161608,52.875286,302,0.46,0.39,2012-02-04,2154,N,VIIRS,n,1,289.78,1.76,N,3
25.165216,52.875862,328.84,0.46,0.39,2012-02-04,2154,N,VIIRS,n,1,291.43,1.76,N,3
25.166832,52.878456,334.06,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,288.76,4.69,N,3
25.167099,52.873737,317.33,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,287.98,3.18,N,3
25.162304,52.873188,302.13,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,286.34,1.48,N,3
25.161757,52.878841,311.75,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,287.98,2.02,N,3
25.162041,52.877899,321.6,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,287.83,3.14,N,3
25.166548,52.879417,321.66,0.56,0.52,2012-02-05,2136,N,VIIRS,n,1,288.35,2.56,N,3
25.166576,52.874897,335.52,0.44,0.62,2012-02-06,0848,N,VIIRS,n,1,286.15,3.74,D,3
25.162249,52.871738,309.72,0.56,0.69,2012-02-06,2118,N,VIIRS,n,1,287.8,1.75,N,3
25.165815,52.871769,297.95,0.5,0.66,2012-02-06,2254,N,VIIRS,n,1,286.73,2.49,N,3
25.164581,52.876728,336.35,0.5,0.66,2012-02-06,2254,N,VIIRS,n,1,288.96,4.24,N,3
25.163332,52.881741,332.74,0.51,0.66,2012-02-06,2254,N,VIIRS,n,1,288.07,4.24,N,3
25.162584,52.880203,355.52,0.51,0.66,2012-02-06,2254,N,VIIRS,n,1,288.9,6.67,N,3
25.163801,52.875183,315.65,0.51,0.66,2012-02-06,2254,N,VIIRS,n,1,288.03,6.26,N,3
25.163908,52.875275,315.21,0.52,0.5,2012-02-07,2236,N,VIIRS,n,1,281.77,3.97,N,3
25.162821,52.880421,337.21,0.52,0.5,2012-02-07,2236,N,VIIRS,n,1,282.2,3.97,N,3
25.163345,52.874813,299.88,0.44,0.38,2012-02-08,2218,N,VIIRS,n,1,285.56,2.32,N,3
25.162573,52.879154,330.2,0.44,0.38,2012-02-08,2218,N,VIIRS,n,1,287.23,1.93,N,3
25.166075,52.879917,329.09,0.44,0.38,2012-02-08,2218,N,VIIRS,n,1,288.84,1.93,N,3
25.166491,52.876907,296.72,0.41,0.37,2012-02-09,2200,N,VIIRS,n,1,255.3,1.64,N,3
25.163097,52.876312,298.16,0.41,0.37,2012-02-09,2200,N,VIIRS,n,1,255.74,1.62,N,3
25.165783,52.875862,337.77,0.45,0.47,2012-02-10,2142,N,VIIRS,n,1,292.13,2,N,3
25.167196,52.878368,322.93,0.45,0.47,2012-02-10,2142,N,VIIRS,n,1,291.83,1.58,N,3
25.161461,52.875294,304.29,0.45,0.47,2012-02-10,2142,N,VIIRS,n,1,292.19,2,N,3
25.162872,52.8778,328.15,0.45,0.47,2012-02-10,2142,N,VIIRS,n,1,292.06,1.58,N,3
25.164024,52.872478,304.27,0.44,0.63,2012-02-11,2124,N,VIIRS,n,1,286.58,1.78,N,3
25.163681,52.876972,312,0.44,0.63,2012-02-11,2124,N,VIIRS,n,1,286.65,1.69,N,3
25.164438,52.874908,323.54,0.44,0.63,2012-02-11,2124,N,VIIRS,n,1,287.36,2.3,N,3
25.160793,52.879704,302.99,0.63,0.72,2012-02-11,2300,N,VIIRS,n,1,285.79,1.18,N,3
25.167236,52.88184,305.65,0.63,0.72,2012-02-11,2300,N,VIIRS,n,1,284.82,1.24,N,3
25.166611,52.881958,305.23,0.33,0.55,2012-02-12,2242,N,VIIRS,n,1,287.43,0.62,N,3
25.161636,52.880569,311.27,0.33,0.55,2012-02-12,2242,N,VIIRS,n,1,287.72,0.62,N,3
25.167334,52.878746,304.48,0.33,0.55,2012-02-12,2242,N,VIIRS,n,1,287.56,0.62,N,3
25.162363,52.877342,309.31,0.33,0.55,2012-02-12,2242,N,VIIRS,n,1,287.97,0.62,N,3
25.162996,52.877869,332.3,0.52,0.41,2012-02-13,2224,N,VIIRS,n,1,289.88,4.2,N,3
25.166767,52.878761,316.42,0.52,0.41,2012-02-13,2224,N,VIIRS,n,1,288.47,1.22,N,3
