latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.16349,52.87772,338.6,0.52,0.41,2019-12-04,0954,1,VIIRS,n,2.0NRT,295.5,6.5,D
25.1615,52.8664,308,0.44,0.38,2019-12-04,2218,1,VIIRS,n,2.0NRT,293.4,1.1,N
25.16347,52.87576,333.1,0.44,0.38,2019-12-04,2218,1,VIIRS,n,2.0NRT,295.4,9.3,N
25.16499,52.86715,307.5,0.44,0.38,2019-12-04,2218,1,VIIRS,n,2.0NRT,294.3,1.1,N
25.16696,52.87653,331.2,0.44,0.38,2019-12-04,2218,1,VIIRS,n,2.0NRT,296.1,7.6,N
25.16256,52.87798,335.2,0.38,0.36,2019-12-05,0930,1,VIIRS,n,2.0NRT,298.6,13.5,D
25.16081,52.86663,333.7,0.38,0.36,2019-12-05,0930,1,VIIRS,n,2.0NRT,296.6,6.1,D
25.16376,52.87461,330.7,0.41,0.37,2019-12-05,2200,1,VIIRS,n,2.0NRT,294.4,3.7,N
25.16656,52.8792,327.6,0.41,0.37,2019-12-05,2200,1,VIIRS,n,2.0NRT,295.6,2.5,N
25.16154,52.86602,324.3,0.41,0.37,2019-12-05,2200,1,VIIRS,n,2.0NRT,294.9,3.5,N
25.16318,52.8786,328.9,0.41,0.37,2019-12-05,2200,1,VIIRS,n,2.0NRT,295.7,3.7,N
25.16714,52.8752,328.6,0.41,0.37,2019-12-05,2200,1,VIIRS,n,2.0NRT,295.3,2.5,N
25.16178,52.8742,305.7,0.45,0.47,2019-12-06,2142,1,VIIRS,n,2.0NRT,293,1.7,N
25.16609,52.87476,337.9,0.45,0.47,2019-12-06,2142,1,VIIRS,n,2.0NRT,295,14,N
25.16558,52.87924,306.7,0.45,0.47,2019-12-06,2142,1,VIIRS,n,2.0NRT,293.7,5.7,N
25.16428,52.87859,343.1,0.36,0.57,2019-12-07,0854,1,VIIRS,n,2.0NRT,292.1,4,D
25.16352,52.87519,339,0.36,0.57,2019-12-07,0854,1,VIIRS,n,2.0NRT,292.8,4,D
25.16521,52.87075,336.7,0.45,0.63,2019-12-07,2124,1,VIIRS,n,2.0NRT,290.6,8.9,N
25.16486,52.87525,367,0.45,0.63,2019-12-07,2124,1,VIIRS,h,2.0NRT,292,5.7,N
25.16451,52.87973,305.3,0.45,0.63,2019-12-07,2124,1,VIIRS,n,2.0NRT,291.5,5.7,N
25.16706,52.87971,367,0.65,0.73,2019-12-07,2300,1,VIIRS,h,2.0NRT,289.8,11.8,N
25.16865,52.87356,306.9,0.65,0.73,2019-12-07,2300,1,VIIRS,n,2.0NRT,288.8,6.7,N
25.16226,52.87651,367,0.7,0.75,2019-12-08,0836,1,VIIRS,h,2.0NRT,291.2,22,D
25.16387,52.87507,367,0.69,0.75,2019-12-08,0836,1,VIIRS,h,2.0NRT,290.2,16.5,D
