latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.16905,52.88409,308.04,2.43,1.5,2022-02-23,1804,Terra,MODIS,58,6.1NRT,291.86,30.84,N
25.16442,52.86063,316.13,2.44,1.51,2022-02-23,1804,Terra,MODIS,90,6.1NRT,291.93,53.6,N
25.15444,52.86995,311.04,1.89,1.34,2022-02-25,1015,Aqua,MODIS,46,6.1NRT,297.33,23.06,D
25.16739,52.87181,323.42,1.05,1.02,2022-03-23,1828,Terra,MODIS,100,6.1NRT,293.51,21.59,N
25.16781,52.88306,307.31,1.55,1.23,2022-03-24,2201,Aqua,MODIS,53,6.1NRT,293.73,13.2,N
25.16499,52.87083,312.54,1.3,1.13,2022-03-25,0718,Terra,MODIS,34,6.1NRT,298.13,10.81,D
25.16281,52.88353,318.13,1.31,1.13,2022-03-25,0718,Terra,MODIS,64,6.1NRT,296.87,17.93,D
25.16975,52.87334,311.42,2.6,1.55,2022-03-26,2148,Aqua,MODIS,75,6.1NRT,292.01,42.48,N
25.16857,52.87792,323.34,1.24,1.1,2022-03-28,1847,Terra,MODIS,100,6.1NRT,292.93,28.07,N
25.16074,52.88268,319.13,1.15,1.07,2022-03-29,0654,Terra,MODIS,67,6.1NRT,295.06,18.54,D
25.16461,52.86544,314.31,1.62,1.25,2022-04-01,0724,Terra,MODIS,61,6.1NRT,296.52,19.68,D
25.16178,52.88123,320.18,1.63,1.26,2022-04-01,0724,Terra,MODIS,72,6.1NRT,297.36,30.42,D
25.15569,52.86554,317.87,1.2,1.09,2022-04-17,1821,Terra,MODIS,95,6.1NRT,294.71,17.91,N
25.17236,52.85972,309,3.75,1.81,2022-04-20,2142,Aqua,MODIS,64,6.1NRT,292.69,53.93,N
25.16959,52.89669,320.29,3.73,1.81,2022-04-20,2142,Aqua,MODIS,100,6.1NRT,293.07,115.93,N
25.16075,52.89093,323.04,3.73,1.81,2022-04-20,2142,Aqua,MODIS,100,6.1NRT,293.31,136.41,N
25.16169,52.87455,311.27,2.02,1.39,2022-04-21,1017,Aqua,MODIS,46,6.1NRT,297.63,21.56,D
25.16348,52.88104,309.99,1,1,2022-05-01,1834,Terra,MODIS,69,6.1NRT,297.99,6.86,N
25.16571,52.87461,314.88,1.05,1.02,2022-05-02,0956,Aqua,MODIS,62,6.1NRT,297.46,9.81,D
25.16549,52.88276,328.76,1.65,1.26,2022-05-03,0724,Terra,MODIS,82,6.1NRT,299.33,44.97,D
25.16692,52.87651,326.33,1.65,1.26,2022-05-03,0724,Terra,MODIS,79,6.1NRT,299.33,38.61,D
25.16405,52.8926,311.72,1.66,1.27,2022-05-03,0724,Terra,MODIS,24,6.1NRT,297.96,9.91,D
25.16786,52.87294,309.86,1.97,1.37,2022-05-03,2246,Aqua,MODIS,68,6.1NRT,296.75,19.83,N
25.16414,52.89206,311.5,1.98,1.37,2022-05-03,2246,Aqua,MODIS,75,6.1NRT,296.94,23.2,N
25.16179,52.88456,318.7,1.98,1.37,2022-05-03,2246,Aqua,MODIS,97,6.1NRT,296.94,39.46,N
25.16072,52.87245,308.18,2.56,1.54,2022-05-04,1904,Terra,MODIS,59,6.1NRT,296.46,24.88,N
25.16215,52.87351,314.34,2.09,1.41,2022-05-15,0924,Aqua,MODIS,61,6.1NRT,296.35,23.76,D
