latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.16537,52.87994,333.45,0.52,0.42,2022-01-02,0956,N,VIIRS,n,2.0NRT,289.61,3.69,D
25.16079,52.86815,329.82,0.44,0.39,2022-01-02,2222,N,VIIRS,n,2.0NRT,292.53,3.22,N
25.16627,52.87843,330,0.44,0.39,2022-01-02,2222,N,VIIRS,n,2.0NRT,293.96,2.22,N
25.16275,52.87766,321.52,0.44,0.39,2022-01-02,2222,N,VIIRS,n,2.0NRT,292.8,2.22,N
25.16585,52.87949,326.72,0.4,0.37,2022-01-03,2203,N,VIIRS,n,2.0NRT,286.7,1.82,N
25.16247,52.87889,308.54,0.4,0.37,2022-01-03,2203,N,VIIRS,n,2.0NRT,284.45,1.82,N
25.16336,52.87542,332.74,0.55,0.42,2022-01-04,0917,N,VIIRS,n,2.0NRT,294.23,4.68,D
25.16541,52.87971,310.13,0.44,0.46,2022-01-04,2144,N,VIIRS,n,2.0NRT,290.04,2.2,N
25.16591,52.87528,322.71,0.44,0.46,2022-01-04,2144,N,VIIRS,n,2.0NRT,291.15,2.2,N
25.16417,52.87414,346.54,0.35,0.56,2022-01-05,0858,N,VIIRS,n,2.0NRT,293.62,4.71,D
25.1654,52.87563,320.97,0.44,0.62,2022-01-05,2127,N,VIIRS,n,2.0NRT,289.27,2.17,N
25.16523,52.88086,326.74,0.33,0.55,2022-01-06,2248,N,VIIRS,n,2.0NRT,290.73,1.64,N
25.1624,52.86969,300.06,0.33,0.55,2022-01-06,2248,N,VIIRS,n,2.0NRT,288.17,0.32,N
25.15739,52.86834,299.28,0.33,0.55,2022-01-06,2248,N,VIIRS,n,2.0NRT,288.16,0.32,N
25.16595,52.8776,308.82,0.33,0.55,2022-01-06,2248,N,VIIRS,n,2.0NRT,290.42,1.72,N
25.16095,52.87618,300.55,0.33,0.55,2022-01-06,2248,N,VIIRS,n,2.0NRT,288.22,0.42,N
25.16538,52.87882,330.45,0.52,0.42,2022-01-07,2229,N,VIIRS,n,2.0NRT,291.86,4.49,N
25.16332,52.87582,319.38,0.52,0.42,2022-01-07,2229,N,VIIRS,n,2.0NRT,290.83,2.13,N
25.1616,52.87794,303.11,0.52,0.42,2022-01-07,2229,N,VIIRS,n,2.0NRT,290.88,1.85,N
25.16236,52.88099,309.65,0.52,0.42,2022-01-07,2229,N,VIIRS,n,2.0NRT,292.3,2.13,N
25.16392,52.87763,332.37,0.4,0.37,2022-01-08,0941,N,VIIRS,n,2.0NRT,293.36,4.11,D
25.15643,52.87017,298.97,0.38,0.36,2022-01-08,2209,N,VIIRS,n,2.0NRT,288.49,0.46,N
25.16033,52.867,312.02,0.38,0.36,2022-01-08,2209,N,VIIRS,n,2.0NRT,290.94,0.98,N
25.15855,52.87838,303.53,0.38,0.36,2022-01-08,2209,N,VIIRS,n,2.0NRT,288.85,0.4,N
25.16244,52.87521,304.15,0.38,0.36,2022-01-08,2209,N,VIIRS,n,2.0NRT,291.51,0.4,N
25.16515,52.87962,329.73,0.38,0.36,2022-01-08,2209,N,VIIRS,n,2.0NRT,292.92,2.48,N
25.16488,52.87741,330.28,0.54,0.42,2022-01-09,2150,N,VIIRS,n,2.0NRT,292.27,1.89,N
25.16098,52.87684,300.38,0.54,0.42,2022-01-09,2150,N,VIIRS,n,2.0NRT,290.19,1.89,N
25.16446,52.87822,330.52,0.54,0.42,2022-01-09,2150,N,VIIRS,n,2.0NRT,292.2,2.02,N
25.16466,52.87399,323.24,0.35,0.57,2022-01-10,2131,N,VIIRS,n,2.0NRT,290.23,5.35,N
25.16434,52.87752,348.81,0.35,0.57,2022-01-10,2131,N,VIIRS,n,2.0NRT,290.57,4.96,N
25.17566,52.8724,309.09,0.78,0.78,2022-01-10,2311,N,VIIRS,n,2.0NRT,286.7,2.09,N
25.16425,52.87946,329.01,0.78,0.78,2022-01-10,2311,N,VIIRS,n,2.0NRT,288.42,5.55,N
25.17351,52.88015,310.02,0.78,0.78,2022-01-10,2311,N,VIIRS,n,2.0NRT,286.81,2.09,N
25.16196,52.87343,300.89,0.69,0.74,2022-01-11,2114,N,VIIRS,n,2.0NRT,277.63,2.72,N
25.16125,52.86969,301.72,0.41,0.61,2022-01-11,2254,N,VIIRS,n,2.0NRT,287.88,0.43,N
25.16483,52.87943,346.28,0.41,0.61,2022-01-11,2254,N,VIIRS,n,2.0NRT,289.89,4.07,N
25.16619,52.87794,340.75,0.53,0.5,2022-01-12,1008,N,VIIRS,n,2.0NRT,291.78,5.64,D
25.16306,52.87943,339.47,0.53,0.5,2022-01-12,1008,N,VIIRS,n,2.0NRT,293.72,6.34,D
25.15894,52.86821,303.45,0.42,0.46,2022-01-12,2233,N,VIIRS,n,2.0NRT,290.57,0.63,N
25.16554,52.87859,342.37,0.42,0.46,2022-01-12,2233,N,VIIRS,n,2.0NRT,293.03,4.44,N
25.16141,52.87756,302.9,0.42,0.46,2022-01-12,2233,N,VIIRS,n,2.0NRT,291.97,0.75,N
25.16371,52.87949,333.72,0.44,0.38,2022-01-13,0949,N,VIIRS,n,2.0NRT,297.67,3.93,D
25.16646,52.87678,329.22,0.4,0.37,2022-01-13,2216,N,VIIRS,n,2.0NRT,294.96,2.33,N
25.16246,52.88002,331.21,0.4,0.37,2022-01-13,2216,N,VIIRS,n,2.0NRT,294.69,2.33,N
25.16311,52.8761,325.52,0.4,0.37,2022-01-13,2216,N,VIIRS,n,2.0NRT,293.25,2.33,N
25.16106,52.8676,309.12,0.4,0.37,2022-01-13,2216,N,VIIRS,n,2.0NRT,292.39,0.8,N
25.16292,52.87813,313.83,0.46,0.39,2022-01-14,2157,N,VIIRS,n,2.0NRT,288.75,2.1,N
25.16055,52.86848,303.83,0.46,0.39,2022-01-14,2157,N,VIIRS,n,2.0NRT,288.58,1.11,N
25.16435,52.87914,332.45,0.33,0.55,2022-01-17,1013,N,VIIRS,n,2.0NRT,289.31,5.7,D
25.16158,52.87659,302.71,0.52,0.5,2022-01-17,2239,N,VIIRS,n,2.0NRT,289.3,2.31,N
25.16611,52.87779,325.35,0.52,0.5,2022-01-17,2239,N,VIIRS,n,2.0NRT,289.02,3.01,N
25.16175,52.86892,300.36,0.33,0.55,2022-01-22,2246,N,VIIRS,n,2.0NRT,288.12,0.35,N
25.16338,52.87761,353.02,0.42,0.45,2022-01-23,1002,N,VIIRS,n,2.0NRT,293.16,8.52,D
25.16327,52.87816,331.43,0.52,0.41,2022-01-23,2229,N,VIIRS,n,2.0NRT,291.25,4.17,N
25.1644,52.87845,338.26,0.39,0.37,2022-01-24,0941,N,VIIRS,n,2.0NRT,292.67,3.79,D
25.16068,52.87595,301.03,0.38,0.36,2022-01-24,2209,N,VIIRS,n,2.0NRT,290.36,1.47,N
