latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.1562,37.8859,328.5,1.8,1.3,2013-05-18,1002,Aqua,MODIS,81,6.03,291.9,54.2,D,2
45.1575,37.8869,315.8,1,1,2013-05-18,1926,Terra,MODIS,92,6.03,286.1,16.4,N,2
45.1664,37.8843,325.6,1,1,2013-05-18,1926,Terra,MODIS,100,6.03,286.3,25.6,N,2
45.1684,37.8772,300.1,1,1,2013-05-18,2337,Aqua,MODIS,16,6.03,284,6.1,N,2
45.1665,37.8898,322.9,1,1,2013-05-18,2337,Aqua,MODIS,100,6.03,285.6,23.3,N,2
45.1592,37.8905,319.3,1.8,1.3,2013-05-19,0901,Terra,MODIS,62,6.03,298.6,21.7,D,2
45.1553,37.8886,320,1.6,1.2,2013-05-20,0806,Terra,MODIS,57,6.03,304,19.5,D,2
45.1641,37.8807,321.5,1.1,1,2013-05-20,1914,Terra,MODIS,100,6.03,288.7,24.8,N,2
45.1601,37.8818,312.9,1.1,1.1,2013-05-20,2324,Aqua,MODIS,86,6.03,283.6,18,N,2
45.1557,37.885,327,1.3,1.1,2013-05-21,0849,Terra,MODIS,70,6.03,308.3,21.3,D,2
45.1599,37.8807,334.8,1,1,2013-05-21,1032,Aqua,MODIS,84,6.03,307.3,24.2,D,2
45.1675,37.8855,301.4,1.9,1.4,2013-05-21,1957,Terra,MODIS,41,6.03,287,15.9,N,2
45.1662,37.8852,307.6,1.8,1.3,2013-05-22,0007,Aqua,MODIS,72,6.03,285.1,25.9,N,2
45.1668,37.8809,314.9,2.3,1.5,2013-05-22,0754,Terra,MODIS,15,6.03,297.7,18.8,D,2
45.1626,37.8866,320.2,2.3,1.5,2013-05-22,0754,Terra,MODIS,66,6.03,296.2,34.5,D,2
45.1613,37.8774,315.2,1.5,1.2,2013-05-22,1902,Terra,MODIS,91,6.03,289.4,26.3,N,2
45.1604,37.88,306.1,1.6,1.2,2013-05-22,2312,Aqua,MODIS,67,6.03,287.7,17.3,N,2
