latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.160736,37.883106,349.01,0.46,0.47,2013-05-18,0936,N,VIIRS,n,1,288.79,42.91,D,0
45.159046,37.883335,336.85,0.41,0.37,2013-05-18,2336,N,VIIRS,n,1,284.33,5.83,N,0
45.163315,37.879433,299.24,0.41,0.37,2013-05-18,2336,N,VIIRS,n,1,283.65,11.02,N,0
45.162388,37.884544,336.75,0.41,0.37,2013-05-18,2336,N,VIIRS,n,1,293.49,11.02,N,0
45.159737,37.882496,367,0.38,0.59,2013-05-19,0918,N,VIIRS,h,1,305.72,17.93,D,0
45.159904,37.883564,367,0.32,0.55,2013-05-19,1100,N,VIIRS,h,1,302.51,16.06,D,0
45.161995,37.883163,367,0.32,0.55,2013-05-19,1100,N,VIIRS,h,1,302.79,15.99,D,0
45.159004,37.884697,328.9,0.4,0.37,2013-05-19,2318,N,VIIRS,n,1,282.86,2.73,N,0
45.163071,37.880531,329.61,0.4,0.37,2013-05-19,2318,N,VIIRS,n,1,286.56,7.04,N,0
45.15971,37.879604,319.88,0.4,0.37,2013-05-19,2318,N,VIIRS,n,1,282.82,2.73,N,0
45.162365,37.885624,322.74,0.4,0.37,2013-05-19,2318,N,VIIRS,n,1,286.55,7.04,N,0
45.15646,37.880795,332.18,0.61,0.71,2013-05-20,0900,N,VIIRS,n,1,299.63,7.36,D,0
45.162479,37.876747,345.44,0.61,0.71,2013-05-20,0900,N,VIIRS,n,1,298.17,7.36,D,0
45.161411,37.876492,347.56,0.61,0.71,2013-05-20,0900,N,VIIRS,n,1,299.37,10.4,D,0
45.164959,37.884068,344.95,0.61,0.71,2013-05-20,0900,N,VIIRS,n,1,298.49,9.59,D,0
45.163921,37.883766,367,0.61,0.71,2013-05-20,0900,N,VIIRS,h,1,300.7,10.4,D,0
45.158924,37.888054,336.31,0.61,0.71,2013-05-20,0900,N,VIIRS,n,1,299.16,9.59,D,0
45.160671,37.881378,344.02,0.57,0.43,2013-05-20,1042,N,VIIRS,n,1,314.58,17.74,D,0
45.15955,37.884575,331.95,0.39,0.44,2013-05-20,2300,N,VIIRS,n,1,289.06,8.06,N,0
45.160015,37.879639,337.62,0.39,0.44,2013-05-20,2300,N,VIIRS,n,1,286.86,9.49,N,0
45.164032,37.880421,337.47,0.39,0.44,2013-05-20,2300,N,VIIRS,n,1,289.14,5.7,N,0
