latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.859348,49.791992,331.94,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,318.92,30.55,N,3
39.864433,49.792576,307.18,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,293.89,30.55,N,3
39.859112,49.79583,340.74,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,295.34,30.55,N,3
39.858875,49.79966,308.62,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,294.12,4.05,N,3
39.859821,49.784317,308.49,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,294.62,24.54,N,3
39.859585,49.788155,343.83,0.32,0.55,2013-08-17,2148,N,VIIRS,n,1,297.55,24.54,N,3
39.853413,49.79137,306.91,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,291.44,22.73,N,3
39.859917,49.781456,303.36,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,291.83,10.56,N,3
39.858315,49.786926,322.83,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,292.13,10.56,N,3
39.862339,49.783314,305.65,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,291.69,3.81,N,3
39.860767,49.800751,306.76,0.49,0.65,2013-08-17,2330,N,VIIRS,n,1,291.41,13.74,N,3
39.860706,49.788761,330.33,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,292.2,22.73,N,3
39.859077,49.794224,349.93,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,302.2,22.73,N,3
39.856712,49.792397,355.7,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,300.42,13.74,N,3
39.8535,49.803352,305.99,0.49,0.65,2013-08-17,2330,N,VIIRS,n,1,291.13,1.96,N,3
39.855808,49.805149,308.2,0.49,0.65,2013-08-17,2330,N,VIIRS,n,1,290.97,9.07,N,3
39.863972,49.789803,305.3,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,291.65,10.56,N,3
39.857441,49.799683,321.72,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,292.3,9.07,N,3
39.855106,49.797874,323,0.49,0.65,2013-08-17,2330,N,VIIRS,n,1,292.56,13.74,N,3
39.86237,49.795273,313.33,0.48,0.65,2013-08-17,2330,N,VIIRS,n,1,291.81,13.74,N,3
39.860542,49.79538,311.35,0.57,0.69,2013-08-18,2130,N,VIIRS,n,1,264.91,1.75,N,3
39.860001,49.790653,354.76,0.57,0.69,2013-08-18,2130,N,VIIRS,n,1,268.8,8.38,N,3
39.860722,49.788414,328.8,0.57,0.69,2013-08-18,2130,N,VIIRS,n,1,266.02,1.75,N,3
39.866261,49.801571,307.72,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,292.98,2.29,N,3
39.858696,49.791294,353.46,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,314.46,107.04,N,3
39.863274,49.793228,319.77,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,293.38,2.29,N,3
39.861679,49.799633,314.51,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,292.97,2.29,N,3
39.864872,49.786823,309.41,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,292.97,4.01,N,3
39.860294,49.784893,324.76,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,293.11,3.31,N,3
39.861889,49.778496,307.5,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,292.92,3.31,N,3
39.855713,49.782959,308.66,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,292.88,3.31,N,3
39.854115,49.78936,316.77,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,293.11,107.04,N,3
39.852516,49.795769,313.03,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,293.15,107.04,N,3
39.855495,49.804111,310.62,0.56,0.52,2013-08-18,2312,N,VIIRS,n,1,293.16,7.63,N,3
39.856201,49.785992,331.15,0.58,0.52,2013-08-19,0854,N,VIIRS,n,1,295.42,14.31,D,3
39.859486,49.799168,341.89,0.58,0.52,2013-08-19,0854,N,VIIRS,n,1,294.78,284.31,D,3
39.86198,49.789082,344.49,0.56,0.69,2013-08-19,1036,N,VIIRS,n,1,292.99,67.54,D,3
