latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.7559,69.3436,318.9,1.2,1.1,2021-04-12,1713,Terra,MODIS,98,6.03,271.3,28.2,N,0
60.7573,69.3484,312.7,1,1,2021-04-25,1642,Terra,MODIS,85,6.03,273.2,17.7,N,0
60.7587,69.3604,301.1,2,1.4,2021-05-05,0602,Terra,MODIS,0,6.03,288.1,10.2,D,0
60.7568,69.339,310.3,1.3,1.1,2021-05-09,0716,Terra,MODIS,0,6.03,284.9,14.4,D,0
60.7567,69.335,301.1,1,1,2021-05-13,0651,Terra,MODIS,0,6.03,282.2,4.3,D,0
60.7575,69.3576,308.5,1.2,1.1,2021-05-14,1712,Terra,MODIS,75,6.03,274.8,15.1,N,0
60.7551,69.3403,302.2,1.4,1.2,2021-05-18,2229,Aqua,MODIS,48,6.03,275.2,15.7,N,0
60.7596,69.347,308,1.5,1.2,2021-05-21,2122,Aqua,MODIS,73,6.03,284.8,20.4,N,0
60.7585,69.351,302.9,2.2,1.5,2021-06-01,2104,Aqua,MODIS,52,6.03,277.6,31.7,N,0
60.7596,69.3568,303.9,1.2,1.1,2021-06-04,2134,Aqua,MODIS,57,6.03,278.2,13.4,N,0
60.7585,69.3439,310.5,1,1,2021-06-05,0657,Terra,MODIS,0,6.03,294.4,7.4,D,0
60.7597,69.3506,316.1,1.3,1.1,2021-06-12,2223,Aqua,MODIS,92,6.03,283.3,24.9,N,0
60.7568,69.3429,317.5,1.2,1.1,2021-06-14,1629,Terra,MODIS,95,6.03,283,22,N,0
60.7584,69.3538,312.6,1.2,1.1,2021-06-21,2217,Aqua,MODIS,85,6.03,279.3,19.8,N,0
60.7584,69.3541,308.7,1,1,2021-06-28,1641,Terra,MODIS,75,6.03,287.1,10.9,N,0
60.7592,69.346,307.7,1.1,1,2021-06-30,2211,Aqua,MODIS,72,6.03,284.1,11.2,N,0
60.7573,69.358,313.1,1.2,1.1,2021-07-01,1711,Terra,MODIS,86,6.03,291.8,14.9,N,0
60.7564,69.3558,310.2,1,1,2021-07-05,1647,Terra,MODIS,79,6.03,282.8,13.2,N,0
60.7581,69.3597,309.1,1.6,1.3,2021-07-06,1730,Terra,MODIS,76,6.03,282.2,25.6,N,0
60.7618,69.3667,300.1,2.9,1.6,2021-07-08,1540,Terra,MODIS,19,6.03,288,20.3,N,0
60.7612,69.3518,307.2,1.5,1.2,2021-07-08,2122,Aqua,MODIS,71,6.03,285.4,19.2,N,0
60.7572,69.349,312.6,1.2,1.1,2021-07-17,1711,Terra,MODIS,85,6.03,282.8,18.6,N,0
60.7602,69.3567,302.5,1.4,1.2,2021-07-21,2229,Aqua,MODIS,49,6.03,286.1,11.1,N,0
60.7592,69.3645,306,1.5,1.2,2021-07-24,2122,Aqua,MODIS,67,6.03,277.8,20.6,N,0
60.7585,69.3411,301.6,1.5,1.2,2021-07-31,1723,Terra,MODIS,42,6.03,283.1,13.3,N,0
60.7598,69.3559,300.7,1.5,1.2,2021-08-03,1616,Terra,MODIS,32,6.03,285.7,10,N,0
60.7588,69.3341,308.5,1.4,1.2,2021-08-04,0721,Terra,MODIS,0,6.03,293,8.5,D,0
60.757,69.3535,304.8,1,1,2021-08-04,1659,Terra,MODIS,62,6.03,286.7,8.9,N,0
60.7576,69.3422,302.7,1,1,2021-08-06,1646,Terra,MODIS,51,6.03,287.1,6.9,N,0
60.7607,69.3532,301.6,1.2,1.1,2021-08-07,2134,Aqua,MODIS,43,6.03,287.4,8.2,N,0
60.7587,69.3417,313.8,1,1,2021-08-08,0656,Terra,MODIS,0,6.03,295.5,8.7,D,0
60.7597,69.3567,300.5,1.1,1,2021-08-08,1634,Terra,MODIS,29,6.03,288.3,5.6,N,0
60.7592,69.3478,308.5,1.2,1.1,2021-08-08,2217,Aqua,MODIS,75,6.03,282.4,14.1,N,0
60.758,69.351,310.6,1.9,1.3,2021-08-14,1735,Terra,MODIS,81,6.03,286.8,30.2,N,0
60.7561,69.3477,324.3,1,1,2021-08-15,1640,Terra,MODIS,100,6.03,286.7,26.1,N,0
60.7585,69.3448,311.3,1.7,1.3,2021-08-16,0607,Terra,MODIS,0,6.03,294.7,15.8,D,0
60.7573,69.355,301.5,1.2,1.1,2021-08-17,1628,Terra,MODIS,41,6.03,285.4,9.2,N,0
60.7592,69.3485,301.3,2.3,1.5,2021-08-18,0555,Terra,MODIS,0,6.03,288.6,10.2,D,0
60.7564,69.3477,324.2,1,1,2021-08-22,1646,Terra,MODIS,100,6.03,291.4,22.9,N,0
60.7596,69.3469,308.6,1,1,2021-09-04,2159,Aqua,MODIS,75,6.03,285.3,11,N,0
60.7571,69.346,310.4,1.1,1,2021-09-28,1704,Terra,MODIS,80,6.03,272.4,17.3,N,0
60.7554,69.3453,311.8,1,1,2021-10-18,1639,Terra,MODIS,83,6.03,267.8,17.6,N,0
