latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.751255,69.349457,329.15,0.42,0.37,2021-01-17,2130,N,VIIRS,n,1,245.18,5.82,N,0
60.750122,69.349693,326.32,0.54,0.42,2021-01-18,2112,N,VIIRS,n,1,241.9,7.98,N,0
60.753979,69.351158,326.81,0.54,0.42,2021-01-18,2112,N,VIIRS,n,1,248.41,7.98,N,0
60.755898,69.347244,336.67,0.54,0.51,2021-01-18,2254,N,VIIRS,n,1,245.16,10.16,N,0
60.751884,69.342033,336.15,0.54,0.51,2021-01-18,2254,N,VIIRS,n,1,242.79,10.16,N,0
60.753864,69.34861,353.3,0.5,0.49,2021-01-19,2054,N,VIIRS,n,1,242.96,18.43,N,0
60.752872,69.350258,339,0.4,0.44,2021-01-19,2230,N,VIIRS,n,1,245.45,9.65,N,0
60.75042,69.342697,347.48,0.53,0.67,2021-01-21,2012,N,VIIRS,n,1,243.41,6.62,N,0
60.752899,69.345581,327.2,0.39,0.36,2021-01-21,2154,N,VIIRS,n,1,253.26,17.8,N,0
60.754326,69.348251,350.49,0.75,0.77,2021-01-22,1954,N,VIIRS,n,1,234.5,9.01,N,0
60.75346,69.349586,331.29,0.4,0.37,2021-01-22,2136,N,VIIRS,n,1,241.57,15.35,N,0
60.754341,69.354134,322.6,0.4,0.6,2021-01-22,2318,N,VIIRS,n,1,231.98,6.51,N,0
60.752224,69.340935,325.18,0.4,0.6,2021-01-22,2318,N,VIIRS,n,1,234.33,13.02,N,0
60.749874,69.347046,354.18,0.4,0.6,2021-01-22,2318,N,VIIRS,n,1,238.21,6.51,N,0
60.751652,69.344429,326.12,0.49,0.4,2021-01-23,2118,N,VIIRS,n,1,237.95,10.71,N,0
60.752239,69.35363,330.19,0.6,0.53,2021-01-23,2300,N,VIIRS,n,1,231.86,5.22,N,0
60.755352,69.344093,321.67,0.6,0.53,2021-01-23,2300,N,VIIRS,n,1,228.39,5.22,N,0
60.755112,69.348801,338.61,0.4,0.44,2021-01-29,2106,N,VIIRS,n,1,238.94,3.89,N,0
