latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
60.75576,69.34438,343.4,0.32,0.55,2021-01-17,2042,1,VIIRS,n,2.0NRT,246.2,3,N
60.75323,69.34869,335.8,0.5,0.41,2021-01-17,2218,1,VIIRS,n,2.0NRT,251.1,16.6,N
60.7563,69.34579,355.1,0.47,0.64,2021-01-18,2024,1,VIIRS,n,2.0NRT,247.8,14.5,N
60.75367,69.34971,353.2,0.6,0.7,2021-01-18,2342,1,VIIRS,n,2.0NRT,247.3,18.4,N
60.75586,69.34904,367,0.6,0.7,2021-01-18,2342,1,VIIRS,h,2.0NRT,245.7,18.1,N
60.75248,69.34067,367,0.68,0.74,2021-01-19,2000,1,VIIRS,h,2.0NRT,242.9,15.6,N
60.75153,69.33637,367,0.68,0.74,2021-01-19,2000,1,VIIRS,h,2.0NRT,239.2,13.2,N
60.75341,69.34868,333.1,0.39,0.36,2021-01-19,2142,1,VIIRS,n,2.0NRT,246,15.1,N
60.7529,69.34924,348.8,0.45,0.63,2021-01-19,2324,1,VIIRS,n,2.0NRT,239,6,N
60.75555,69.3427,340,0.45,0.63,2021-01-19,2324,1,VIIRS,n,2.0NRT,235.7,6,N
60.75417,69.34821,337.3,0.4,0.44,2021-01-21,2106,1,VIIRS,n,2.0NRT,247.4,6,N
60.75284,69.34264,335.6,0.5,0.49,2021-01-21,2248,1,VIIRS,n,2.0NRT,246.4,20.1,N
60.7529,69.34847,328.2,0.57,0.52,2021-01-22,2048,1,VIIRS,n,2.0NRT,241.5,14.1,N
60.75326,69.342,324.3,0.55,0.43,2021-01-22,2230,1,VIIRS,n,2.0NRT,236.4,18.6,N
60.75712,69.34663,324.5,0.41,0.61,2021-01-23,2030,1,VIIRS,n,2.0NRT,228.3,5.7,N
60.75146,69.34643,354.7,0.41,0.61,2021-01-23,2030,1,VIIRS,n,2.0NRT,235,5.7,N
60.7515,69.33871,336.1,0.41,0.61,2021-01-23,2030,1,VIIRS,n,2.0NRT,233.4,9.3,N
60.75275,69.34541,336.1,0.43,0.38,2021-01-23,2206,1,VIIRS,n,2.0NRT,240.3,9.5,N
60.75502,69.35294,355.9,0.65,0.73,2021-01-23,2348,1,VIIRS,n,2.0NRT,231.5,13.9,N
60.75926,69.34438,321.6,0.65,0.73,2021-01-23,2348,1,VIIRS,n,2.0NRT,224.4,10.5,N
60.75584,69.33795,344.9,0.53,0.67,2021-01-29,2012,1,VIIRS,n,2.0NRT,238.4,9.2,N
60.75457,69.34467,325.8,0.4,0.37,2021-01-30,2136,1,VIIRS,n,2.0NRT,257.1,6.6,N
60.75151,69.3506,320.5,0.49,0.4,2021-01-31,2118,1,VIIRS,n,2.0NRT,244.9,7.2,N
60.75157,69.35189,321.6,0.61,0.53,2021-01-31,2300,1,VIIRS,n,2.0NRT,246,5.8,N
60.75466,69.3424,335.7,0.61,0.53,2021-01-31,2300,1,VIIRS,n,2.0NRT,245.3,5.8,N
60.75263,69.34801,345.4,0.45,0.47,2021-02-01,2242,1,VIIRS,n,2.0NRT,265.3,6.9,N
60.75337,69.34596,367,0.32,0.55,2021-02-02,2042,1,VIIRS,h,2.0NRT,264.3,12.2,N
60.75358,69.3512,327.4,0.5,0.41,2021-02-02,2218,1,VIIRS,n,2.0NRT,260.6,13.7,N
60.75204,69.34261,367,0.77,0.77,2021-02-03,0000,1,VIIRS,h,2.0NRT,253.8,11.1,N
60.75491,69.34936,328.8,0.41,0.37,2021-02-03,2200,1,VIIRS,n,2.0NRT,261.8,6.7,N
60.75172,69.34681,328.1,0.41,0.37,2021-02-03,2200,1,VIIRS,n,2.0NRT,260.1,9.2,N
60.75285,69.34722,331,0.39,0.36,2021-02-04,2142,1,VIIRS,n,2.0NRT,251.6,5.4,N
60.75663,69.34409,367,0.42,0.61,2021-02-08,2030,1,VIIRS,h,2.0NRT,245.7,13,N
60.75119,69.34806,326,0.43,0.38,2021-02-08,2206,1,VIIRS,n,2.0NRT,245.1,3.6,N
