latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
60.7563,69.33809,320.29,1.1,1.05,2022-05-27,0625,Terra,MODIS,0,6.1NRT,296.25,17.56,D
60.7593,69.35755,301.05,1.02,1.01,2022-06-10,2155,Aqua,MODIS,37,6.1NRT,281.57,7.92,N
60.75607,69.34222,317.32,1,1,2022-06-17,0642,Terra,MODIS,0,6.1NRT,296.89,12.61,D
60.7576,69.35114,303,1.1,1.05,2022-06-24,1626,Terra,MODIS,53,6.1NRT,281.87,9.07,D
60.75862,69.35777,316.81,1.06,1.03,2022-07-08,2214,Aqua,MODIS,94,6.1NRT,288.77,17.91,N
60.75859,69.35736,301.59,1.1,1.05,2022-07-10,1624,Terra,MODIS,43,6.1NRT,291.13,4.59,D
60.75788,69.34949,306.95,1.07,1.03,2022-07-12,2146,Aqua,MODIS,69,6.1NRT,283.92,11.79,N
60.75565,69.34273,311.11,1.03,1.01,2022-07-22,1650,Terra,MODIS,82,6.1NRT,279.94,14.87,N
60.75765,69.35242,317.93,1.01,1,2022-07-26,2157,Aqua,MODIS,96,6.1NRT,283.44,19.31,N
60.7553,69.33901,311.37,1.01,1,2022-07-28,0633,Terra,MODIS,0,6.1NRT,294.12,8.17,D
60.75797,69.36337,302.25,1.37,1.16,2022-07-30,2131,Aqua,MODIS,48,6.1NRT,286.66,10.82,N
60.75684,69.33461,306.58,1.33,1.14,2022-08-01,0610,Terra,MODIS,0,6.1NRT,294.69,7.78,D
60.75826,69.34545,300.03,1.46,1.19,2022-08-06,1607,Terra,MODIS,11,6.1NRT,281.34,10.56,N
60.75835,69.34681,300.14,1.83,1.33,2022-08-08,1554,Terra,MODIS,19,6.1NRT,289.58,11.55,N
60.75672,69.35309,306.66,1.3,1.13,2022-08-12,1707,Terra,MODIS,48,6.1NRT,284.87,14.22,N
60.75752,69.35289,301.27,1.46,1.19,2022-08-19,1713,Terra,MODIS,39,6.1NRT,279.61,12.57,N
60.75838,69.34616,300.58,1.36,1.16,2022-08-22,2131,Aqua,MODIS,30,6.1NRT,284.47,11.03,N
60.75623,69.34798,315.59,1.03,1.01,2022-08-23,1650,Terra,MODIS,92,6.1NRT,286.38,16.76,N
60.75668,69.33479,307.72,1.2,1.09,2022-08-24,0614,Terra,MODIS,0,6.1NRT,293.62,7.28,D
60.75945,69.34971,301.66,1.06,1.03,2022-08-27,2148,Aqua,MODIS,43,6.1NRT,280.87,8.99,N
