latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
60.75141,69.34879,337.31,0.42,0.37,2022-01-04,2133,N,VIIRS,n,2.0NRT,251.45,14.01,N
60.75478,69.35056,330.89,0.42,0.37,2022-01-04,2133,N,VIIRS,n,2.0NRT,249.48,2.9,N
60.75342,69.35504,348.78,0.37,0.58,2022-01-04,2313,N,VIIRS,n,2.0NRT,248.8,4.51,N
60.74905,69.34842,324.31,0.37,0.58,2022-01-04,2313,N,VIIRS,n,2.0NRT,244.8,2.33,N
60.75547,69.3494,325.15,0.37,0.58,2022-01-04,2313,N,VIIRS,n,2.0NRT,247.46,5.05,N
60.75095,69.34666,334.23,0.53,0.42,2022-01-05,2116,N,VIIRS,n,2.0NRT,238.07,12.03,N
60.7548,69.34811,328.73,0.53,0.42,2022-01-05,2116,N,VIIRS,n,2.0NRT,240.02,5.76,N
60.75126,69.34989,336.89,0.55,0.51,2022-01-05,2256,N,VIIRS,n,2.0NRT,242.57,16.02,N
60.75401,69.34724,337.74,0.5,0.49,2022-01-06,2055,N,VIIRS,n,2.0NRT,247.07,13,N
60.75179,69.3499,337.76,0.4,0.45,2022-01-06,2237,N,VIIRS,n,2.0NRT,239.64,2.89,N
60.75237,69.34989,332.67,0.39,0.36,2022-01-08,2201,N,VIIRS,n,2.0NRT,261.45,16.33,N
60.75455,69.35171,367,0.54,0.68,2022-01-08,2339,N,VIIRS,h,2.0NRT,252.28,8.99,N
60.74989,69.34289,331.53,0.54,0.68,2022-01-08,2339,N,VIIRS,n,2.0NRT,249.48,3.93,N
60.7545,69.34831,356.35,0.75,0.77,2022-01-09,1959,N,VIIRS,n,2.0NRT,253.98,11.04,N
60.75446,69.3488,354.83,0.75,0.77,2022-01-09,1959,N,VIIRS,n,2.0NRT,253.53,13.21,N
60.75162,69.34804,332.51,0.4,0.37,2022-01-09,2140,N,VIIRS,n,2.0NRT,247.78,8.6,N
60.75328,69.35191,331.32,0.44,0.46,2022-01-11,2101,N,VIIRS,n,2.0NRT,245.78,12.8,N
60.75114,69.34635,348.24,0.45,0.47,2022-01-11,2244,N,VIIRS,n,2.0NRT,240.82,10.2,N
60.75492,69.35076,326.31,0.45,0.47,2022-01-11,2244,N,VIIRS,n,2.0NRT,242.61,3.47,N
60.75239,69.34715,367,0.32,0.55,2022-01-12,2044,N,VIIRS,h,2.0NRT,245.62,7.24,N
60.75224,69.35122,327.57,0.5,0.41,2022-01-12,2224,N,VIIRS,n,2.0NRT,248.58,11.32,N
60.75188,69.35216,334,0.75,0.77,2022-01-13,0005,N,VIIRS,n,2.0NRT,242.52,9.15,N
60.75038,69.34615,347.72,0.75,0.77,2022-01-13,0005,N,VIIRS,n,2.0NRT,243.7,8.51,N
60.75017,69.34823,334.83,0.46,0.64,2022-01-13,2023,N,VIIRS,n,2.0NRT,247.52,5.37,N
60.75491,69.34705,325.95,0.41,0.37,2022-01-13,2205,N,VIIRS,n,2.0NRT,255.13,3.19,N
60.75343,69.34807,342.03,0.57,0.52,2022-01-17,2050,N,VIIRS,n,2.0NRT,256.15,12.82,N
60.75097,69.34416,327.29,0.55,0.43,2022-01-17,2229,N,VIIRS,n,2.0NRT,250.93,7.1,N
60.75451,69.34783,331.87,0.55,0.43,2022-01-17,2229,N,VIIRS,n,2.0NRT,255.8,7.1,N
60.75328,69.34656,336.01,0.43,0.38,2022-01-18,2212,N,VIIRS,n,2.0NRT,263.29,16.01,N
60.75209,69.35675,321.62,0.63,0.72,2022-01-18,2352,N,VIIRS,n,2.0NRT,248.23,4.84,N
60.75022,69.34763,352.14,0.59,0.7,2022-01-19,2012,N,VIIRS,n,2.0NRT,258.93,11.52,N
60.75312,69.34891,332.14,0.38,0.36,2022-01-19,2152,N,VIIRS,n,2.0NRT,267.99,15.16,N
60.75071,69.35038,352.43,0.49,0.65,2022-01-19,2333,N,VIIRS,n,2.0NRT,259.29,5.34,N
60.75095,69.34419,367,0.49,0.65,2022-01-19,2333,N,VIIRS,h,2.0NRT,258.11,9.68,N
60.75374,69.34328,321.08,0.49,0.65,2022-01-19,2333,N,VIIRS,n,2.0NRT,257.96,5.34,N
60.75363,69.34988,343.82,0.42,0.37,2022-01-20,2133,N,VIIRS,n,2.0NRT,253.09,9.25,N
60.75038,69.34882,367,0.37,0.58,2022-01-20,2313,N,VIIRS,h,2.0NRT,260.44,6,N
60.75519,69.34843,355.25,0.36,0.58,2022-01-23,2038,N,VIIRS,n,2.0NRT,252.7,4.05,N
60.7498,69.34794,349.74,0.36,0.58,2022-01-23,2038,N,VIIRS,n,2.0NRT,248.27,3.38,N
60.7547,69.34597,325.06,0.46,0.39,2022-01-23,2218,N,VIIRS,n,2.0NRT,252.28,10.07,N
