id_Key,Date_Proc,Lat_GMTCO,Lon_GMTCO,Date_Mscan,Temp_BB,Temp_Bkg,ESF_BB,RHI,RH,Area_Pixel,Area_BB,Cloud_Mask,QF_Fit,QF_Detect,Rad_DNB,Rad_M07,Rad_M08,Rad_M10,Rad_M11,Rad_M12,Rad_M13,Rad_M14,Rad_M15,Rad_M16,Dist,Satellite
x0497653E_y398695N_l0163_s2926_v21,2015-09-26 04:29:23.000,39.869514,49.765255,2013-09-02 23:34:03.103,1838.0,999999.0,1.92405e-06,1.24403,1.67106,1.34327,2.58451,0,1,1231,0.0197205,0.0689389,0.125932,0.173938,999999,0.248584,0.397264,6.32923,7.18629,6.54944,1349396.29280328,NOAA-20
x0497652E_y398646N_l2601_s2492_v21,2015-09-26 05:01:23.000,39.864552,49.76524,2013-09-03 23:15:21.639,1892.0,999999.0,1.91895e-06,1.39515,1.70791,1.22418,2.34914,3,1,1741,0.0239665,0.0840414,0.156152,0.197419,999999,0.241496,0.425777,6.8929,7.71614,7.23427,1349864.10615709,NOAA-20
x0497671E_y398721N_l1311_s0885_v21,2015-09-26 11:29:06.000,39.872074,49.767082,2013-09-12 22:06:30.819,1900.0,999999.0,2.29992e-06,1.69887,1.4438,0.84986,1.95461,3,1,2511,0.0276989,0.090338,0.210547,0.230032,999999,0.113919,0.227012,5.46009,6.44411,6.24673,1349237.00746955,NOAA-20
x0497685E_y398611N_l1316_s0886_v21,2015-09-26 11:29:06.000,39.861061,49.768532,2013-09-12 22:06:32.598,1883.0,999999.0,3.67693e-06,2.6196,2.22226,0.848319,3.11921,3,1,2509,0.0355916,0.134703,0.319338,0.35135,999999,0.157376,0.272614,5.66041,6.59568,6.30435,1350342.12863909,NOAA-20
x0497712E_y398756N_l0461_s1809_v21,2015-09-26 20:36:46.000,39.875645,49.771229,2013-09-26 22:44:26.590,1810.0,999999.0,1.64912e-06,1.00269,0.617788,0.616132,1.01608,3,1,461,0.017486,0.0582167,0.089669,0.14263,999999,0.169585,0.32573,6.34724,7.20414,6.85959,1349087.02227607,NOAA-20
x0497691E_y398450N_l2056_s0445_v21,2015-10-04 09:47:56.000,39.84502,49.769146,2013-10-15 21:48:01.977,1904.0,999999.0,2.22973e-06,1.66095,1.63424,0.983918,2.19387,3,1,2509,0.02033,0.082896,0.219613,0.216987,999999,0.186916,0.295386,5.91701,6.90758,6.48518,1351884.73714876,NOAA-20
x0496967E_y398580N_l0509_s0161_v21,2015-09-26 05:10:13.000,39.857971,49.696663,2013-09-03 21:34:46.363,1953.0,999999.0,8.39585e-07,0.691951,1.20301,1.73858,1.45969,0,1,459,0.00837599,0.0322554,0.0957129,0.0917545,999999,0.224734,0.374192,5.9572,6.85622,6.31391,1347402.55046909,NOAA-20
x0497159E_y398629N_l2062_s0163_v21,2015-10-04 01:11:53.000,39.862934,49.715942,2013-10-05 21:35:14.669,2020.0,999999.0,1.2534e-06,1.18407,2.04892,1.73041,2.1689,0,1,2511,0.0159123,0.0839949,0.177306,0.15698,999999,0.0881554,0.177285,4.76555,5.79369,5.70264,1347798.56459259,NOAA-20
x0496975E_y398646N_l2070_s0162_v21,2015-10-04 01:11:53.000,39.864552,49.697456,2013-10-05 21:35:16.448,1968.0,999999.0,1.09282e-06,0.928911,1.6105,1.73375,1.89468,3,1,2507,0.0181145,0.0440126,0.125932,0.126976,999999,0.0842236,0.172465,4.72696,5.77678,5.67582,1346815.58329474,NOAA-20
x0497115E_y398642N_l2070_s0163_v21,2015-10-04 01:11:53.000,39.864216,49.711491,2013-10-05 21:35:16.448,1966.0,999999.0,1.09823e-06,0.930546,1.60942,1.72954,1.89943,3,1,2511,0.0159123,0.0584899,0.125932,0.126976,999999,0.0858791,0.177372,4.73275,5.78868,5.68618,1347477.41996756,NOAA-20
